Nome do Jogo,Gênero,Plataforma,Classificação de Usuários,Vendas Globais,Lançamento no Brasil,Idade Recomendada,Preço
Jogo_30,Ação,Xbox,7.053846915792133,7.053339519087928,Sim,7.0,145.83010295305428
Jogo_31,Ação,Xbox,,2.23654006073964,Não,14.0,196.2205876188971
Jogo_32,RPG,Switch,8.429975925169714,4.553568035738882,Não,,42.86506912339664
Jogo_33,RPG,Xbox,,8.750813887951892,Sim,,60.20441456864555
Jogo_34,Aventura,PC,9.632118266527101,2.096951353975462,Sim,15.0,148.48714945571254
Jogo_35,Puzzle,PlayStation,7.898023053581584,1.8509352860072075,Não,7.0,181.13819117601793
Jogo_36,Aventura,PC,6.024368629189935,6.183995636870436,Não,10.0,59.88443626862417
Jogo_37,Ação,PlayStation,9.517219280345909,5.362994797002166,Não,13.0,108.73631621573904
Jogo_38,Ação,PC,7.646926916008093,4.372505605217344,Não,,110.53796064785442
Jogo_39,Puzzle,PlayStation,1.6368890696986518,3.051289850087563,Não,15.0,120.67360878392088
Jogo_40,Aventura,PC,7.644103352499171,6.6848397303609515,Sim,,165.17291332920385
Jogo_41,RPG,Switch,8.174824164759606,4.179570695900962,Não,18.0,181.94129923625923
Jogo_42,Ação,Mobile,8.779657408095284,2.396098995985267,Sim,6.0,194.79784763064126
Jogo_43,Aventura,Xbox,7.840419148132318,3.8483139261318864,Sim,15.0,125.47781541723685
Jogo_44,RPG,Switch,7.023288939242336,7.616799353869683,Não,6.0,66.24059974442034
Jogo_45,RPG,Xbox,8.772711208311566,5.411653868150219,Sim,16.0,112.01884650449702
Jogo_46,Aventura,PC,,3.5301841215526437,Sim,17.0,78.7605904656319
Jogo_47,Puzzle,Switch,1.18309840945702,0.6671101365683696,Não,10.0,191.63917546119788
Jogo_48,Esportes,PC,3.7974106059082446,0.24632054482523338,Não,,60.98022929261199
Jogo_49,RPG,PC,,9.391047133150796,Sim,11.0,156.0611195918324
Jogo_50,Esportes,Mobile,5.0754826653548575,4.485717945671565,Sim,11.0,138.32609268783727
Jogo_51,Puzzle,Xbox,1.7302651404834188,6.459835467562443,Sim,4.0,83.42501898579134
Jogo_52,Esportes,PC,6.284031188081849,8.015353529486648,Não,6.0,47.705044057910314
Jogo_53,Esportes,PC,,6.906855818468796,Não,16.0,45.23005099721611
Jogo_54,Esportes,Mobile,8.32686784944365,4.905436375878305,Sim,16.0,53.61716940750371
Jogo_55,Esportes,Xbox,4.005182483290516,4.9662319469875875,Não,,86.85745557617778
Jogo_56,RPG,Switch,9.437115611265286,9.52432960919026,Sim,15.0,87.62983895734686
Jogo_57,Aventura,Switch,1.3841008862286017,0.5007174749194387,Não,4.0,32.01685854724055
Jogo_58,Puzzle,Switch,6.614431359990611,4.740407213612032,Sim,18.0,59.327609200914495
Jogo_59,RPG,PC,7.842466101516233,6.598774707639988,Sim,11.0,59.03910054286883
Jogo_60,Puzzle,Switch,1.4262471958595009,5.3325114388807915,Sim,13.0,115.51437608125661
Jogo_61,Esportes,Mobile,2.2480104808894787,9.580159549100864,Sim,14.0,139.90538845417902
Jogo_62,RPG,PlayStation,5.133043222494399,0.2851634213374914,Não,7.0,73.97281680433022
Jogo_63,Puzzle,PlayStation,1.677312061273069,6.547496458421729,Sim,3.0,82.05645574866932
Jogo_64,RPG,PlayStation,1.1387089910032024,0.13902228034087366,Não,17.0,109.91311208321852
Jogo_65,Puzzle,PC,1.8681205918837738,0.6126537638846598,Não,11.0,48.4441600123602
Jogo_66,Ação,Xbox,,7.169445606818438,Não,7.0,111.7379348118225
Jogo_67,RPG,Switch,,0.7860606651888683,Sim,6.0,131.88403448702445
Jogo_68,Esportes,PC,6.7699932887561705,9.24330374506728,Não,13.0,63.2753772711799
Jogo_69,Ação,PC,9.494522165122339,4.118223904886092,Sim,,176.66796832681158
Jogo_70,Puzzle,Mobile,1.1249940577393511,2.4030222209158376,Sim,12.0,90.27865946779136
Jogo_71,Puzzle,Switch,,1.4478759315995948,Sim,14.0,118.11759419269617
Jogo_72,Aventura,PlayStation,2.4320890698911324,1.2563188552354891,Não,12.0,84.61549196024248
Jogo_73,Puzzle,PC,7.75472511631019,0.5702644341749934,Sim,,140.13882417462048
Jogo_74,Puzzle,PlayStation,6.620677462847501,3.7091946503846955,Sim,5.0,44.45459105997037
Jogo_75,Puzzle,Mobile,6.588493002999789,2.8650077959069256,Sim,6.0,75.20292439467224
Jogo_76,RPG,Mobile,3.5629806344120247,1.297300438259097,Não,13.0,193.36236679534585
Jogo_77,Aventura,Mobile,8.000580900919505,1.5248827441040125,Não,17.0,114.29838458439852
Jogo_78,Aventura,Switch,2.4028505747069717,9.599333287069044,Sim,3.0,56.44402242554217
Jogo_79,Esportes,PlayStation,8.168275425861237,6.6390388830893725,Sim,9.0,131.91825364614513
Jogo_80,Esportes,Xbox,2.0536116545695835,2.1355831453167067,Não,15.0,113.38362548150184
Jogo_81,Aventura,Mobile,,6.239736759396714,Sim,17.0,150.37444142543424
Jogo_82,Ação,Xbox,7.375241339495747,6.1940807698128495,Não,8.0,90.04026901846481
Jogo_83,Aventura,Xbox,6.327211021362401,7.591237595080429,Não,10.0,74.13345336525009
Jogo_84,RPG,PlayStation,4.741909804716952,9.647376572099683,Sim,13.0,154.80640342523353
Jogo_85,Esportes,Switch,9.719295537876478,3.079528767083312,Não,16.0,63.410304307371305
Jogo_86,RPG,PlayStation,,7.729901286982839,Sim,,124.04982752637818
Jogo_87,RPG,Mobile,5.393964396194395,9.129767917907383,Sim,6.0,62.23776053936367
Jogo_88,Esportes,PC,6.1195045013275235,3.272770894852552,Não,18.0,137.75160938828273
Jogo_89,RPG,Mobile,7.487466169806007,3.756759875154468,Sim,3.0,49.8670630112172
Jogo_90,Aventura,Xbox,5.898580544736947,2.950234219309937,Não,17.0,151.33951183364928
Jogo_91,Aventura,Xbox,8.458870835563518,0.7974516520120758,Não,12.0,104.89360526781911
Jogo_92,Aventura,Xbox,8.586229852064001,4.507037856138087,Não,15.0,44.03335595951665
Jogo_93,Esportes,Switch,1.1961759405079457,6.233885732159066,Sim,10.0,197.60070730387866
Jogo_94,Aventura,Switch,2.355990352255615,8.473131789739709,Sim,12.0,137.0219571600775
Jogo_95,Esportes,Xbox,8.483180416184645,8.555357540838529,Sim,17.0,194.05335341898942
Jogo_96,Puzzle,Mobile,6.516042669936322,6.643102331855191,Não,18.0,75.90802571894228
Jogo_97,RPG,Mobile,5.772447841906398,9.571856221230561,Sim,8.0,171.2534670619567
Jogo_98,Ação,Switch,6.18447229111433,1.5791763698702235,Não,18.0,144.38356662136715
Jogo_99,Ação,Xbox,8.904266219917291,3.343917304437953,Não,12.0,187.89468998335533
Jogo_100,Aventura,Switch,7.204807714339347,6.698881692712898,Não,4.0,34.86658341254707
Jogo_101,Esportes,Xbox,3.0881632404497577,5.057392477358921,Sim,6.0,96.76390240506745
Jogo_102,Ação,PlayStation,5.705938447800394,9.547287212580311,Não,11.0,127.87446706180191
Jogo_103,RPG,Xbox,3.1060193219018633,0.3799024040580451,Não,14.0,120.1436283335444
Jogo_104,RPG,PlayStation,7.319544452527375,7.178317083726369,Não,3.0,141.955672760561
Jogo_105,Aventura,PC,3.541506557648905,5.371411577071619,Não,15.0,169.9324303823683
Jogo_106,RPG,PC,1.7026201725160282,7.548670678713403,Não,3.0,161.649403013809
Jogo_107,Puzzle,PC,2.5093185415878647,4.563445400705609,Sim,9.0,58.60827292375912
Jogo_108,Puzzle,Xbox,9.924885599769839,2.7917394519704595,Sim,11.0,157.88108769365968
Jogo_109,RPG,Xbox,7.718773250011291,9.287279698161019,Não,17.0,132.54441321918634
Jogo_110,Esportes,Mobile,4.844750886941556,3.86854520376844,Não,18.0,152.52893383580107
Jogo_111,RPG,Xbox,5.4149683838366895,5.456890207331206,Não,17.0,121.2723888754937
Jogo_112,RPG,Mobile,4.397321032646609,9.969111277148409,Sim,16.0,193.34636196537588
Jogo_113,Puzzle,Mobile,5.413465820882752,0.941602986452323,Não,,113.68428523907184
Jogo_114,Ação,Mobile,9.216755856673867,9.8008762750671,Sim,6.0,183.82892867272915
Jogo_115,Aventura,Xbox,6.511132919764179,5.553885066678722,Não,12.0,84.14679798270046
Jogo_116,Esportes,PC,7.57073506021733,1.034307198782043,Sim,3.0,92.15175269909076
Jogo_117,Aventura,PlayStation,2.6084748658443933,5.955978300942161,Não,16.0,76.98523276524298
Jogo_118,Aventura,PlayStation,3.690110590879662,9.153091714436641,Não,18.0,47.084969189516826
Jogo_119,Ação,Switch,7.321645413653547,0.6562760335930051,Não,11.0,77.92617822653204
Jogo_120,Ação,Mobile,7.808081453807868,6.587373708023252,Não,5.0,70.85471678327242
Jogo_121,Esportes,PC,5.695005903921151,8.376534063863724,Sim,10.0,152.71299216682058
Jogo_122,Ação,Xbox,4.853098545748408,1.030812985440426,Sim,,189.87374298452383
Jogo_123,RPG,PC,9.070583563978845,7.240144878249417,Sim,5.0,193.74708079878414
Jogo_124,Esportes,Switch,5.965986939421303,9.011463634298845,Não,12.0,117.59570891163423
Jogo_125,Puzzle,Mobile,3.230950596685446,4.679494097989199,Sim,13.0,70.57210608450602
Jogo_126,Ação,Switch,5.0534659118320455,6.701772283892849,Sim,11.0,113.9276157373991
Jogo_127,Puzzle,Xbox,1.0681502906652627,4.528457899525855,Sim,,154.0986313723423
Jogo_128,Aventura,Switch,5.308863189527324,2.2599898305472736,Sim,4.0,177.9997729872298
Jogo_129,Aventura,Xbox,7.84857293593801,2.424638012143764,Não,15.0,70.34485234662196
Jogo_130,Esportes,PlayStation,6.070366714540682,4.9534860627734645,Não,13.0,94.46507124731289
Jogo_131,Aventura,PC,6.586807679207707,1.5404745626459433,Não,5.0,47.932641034985366
Jogo_132,Aventura,Xbox,4.915921583859975,0.9210832450435575,Sim,5.0,198.460158885128
Jogo_133,Aventura,PlayStation,4.316575651492233,5.300776028914025,Sim,8.0,104.12222486670294
Jogo_134,Aventura,PC,2.885313573640518,4.216342086431494,Não,7.0,140.1259070865193
Jogo_135,Ação,Mobile,8.224712467132338,5.293319548280907,Não,11.0,180.99397365684575
Jogo_136,Esportes,Xbox,4.192048355195398,3.352080951837124,Sim,16.0,179.64817697797804
Jogo_137,Esportes,Mobile,1.1969592238274052,0.5285800067765376,Sim,5.0,51.37563151419317
Jogo_138,RPG,Switch,4.332788946240198,5.885785029555422,Não,5.0,162.5437682195525
Jogo_139,Puzzle,PlayStation,1.0102659038729238,4.067514926185028,Não,,97.62414969112834
Jogo_140,RPG,Xbox,8.678641936269138,4.030742668895201,Sim,6.0,195.63244992883088
Jogo_141,Esportes,Xbox,1.3116589933932294,9.711851206466557,Sim,7.0,159.29167326879931
Jogo_142,Esportes,Xbox,9.848997049692304,8.410120801227833,Sim,10.0,92.64158909251623
Jogo_143,Aventura,Xbox,,1.0166712824003694,Não,3.0,84.75791170186214
Jogo_144,RPG,PC,9.836777753531585,5.384170041278012,Não,6.0,113.52574386797932
Jogo_145,RPG,PlayStation,9.71677227374369,3.793039438275359,Sim,18.0,106.96784669447442
Jogo_146,Ação,Mobile,9.589104747628623,4.330412159899622,Sim,11.0,130.4661264044129
Jogo_147,Esportes,Switch,7.692054015190978,8.355359922793824,Sim,8.0,143.01207447009048
Jogo_148,Ação,Mobile,7.034943138558347,9.446800863896652,Não,15.0,190.55499078613036
Jogo_149,Esportes,PlayStation,9.713458814037317,8.132756442629875,Sim,18.0,166.27450071130897
Jogo_150,RPG,Xbox,3.804939855054455,7.736771740185539,Não,7.0,98.34229682766127
Jogo_151,Esportes,Mobile,2.6054813033679087,3.277242674262657,Sim,3.0,104.28110740686787
Jogo_152,Esportes,PlayStation,5.698647097446332,3.4392880776555086,Não,16.0,157.77280240705633
Jogo_153,Aventura,PlayStation,4.67428617475214,9.806095526855465,Sim,6.0,146.9789559452565
Jogo_154,Ação,PlayStation,,4.984003035166648,Não,7.0,154.6850962181801
Jogo_155,Esportes,PlayStation,7.609899744499114,4.425549038979816,Não,11.0,166.54440887154092
Jogo_156,Esportes,PC,,1.037170689727864,Não,3.0,140.0277487814413
Jogo_157,Aventura,PC,7.520582859596297,2.8587806186817097,Sim,12.0,114.84836873832057
Jogo_158,Aventura,PlayStation,3.312768018539359,7.1334220545605325,Sim,14.0,184.105631153019
Jogo_159,Puzzle,Mobile,6.6355316385072545,7.799341088156071,Não,18.0,90.05152740191612
Jogo_160,Puzzle,PC,9.377643676625741,3.0684105590274307,Sim,6.0,162.86304729990013
Jogo_161,Esportes,Mobile,1.2297398688514642,5.087527756314406,Não,7.0,188.56862016358824
Jogo_162,RPG,PC,4.852170459622832,7.589825285465203,Sim,5.0,133.1702643564031
Jogo_163,Aventura,PC,7.5924914209230305,9.600894478412528,Sim,11.0,64.47382508382304
Jogo_164,Ação,PlayStation,7.021900812820427,2.3155342576949214,Não,3.0,196.53024658606682
Jogo_165,Ação,Switch,9.716987869618954,0.1329621482988569,Sim,8.0,34.055729742723386
Jogo_166,Esportes,Mobile,2.476449257047343,0.6281387467243867,Não,16.0,183.45276387414674
Jogo_167,RPG,PlayStation,8.328345054804569,4.902550678291972,Não,,170.3715668614392
Jogo_168,RPG,Switch,9.026057821031236,8.209566386255595,Não,17.0,142.51999700240154
Jogo_169,Esportes,Mobile,,2.2652614665990636,Sim,7.0,142.99499901498174
Jogo_170,Esportes,PlayStation,5.4453279974711615,1.3603993098317368,Sim,12.0,146.8570468100497
Jogo_171,Esportes,PC,9.447194896942316,1.5141956841694892,Não,11.0,186.96443322053582
Jogo_172,Ação,Mobile,3.484177109535076,5.142740212384962,Não,10.0,96.55294525310288
Jogo_173,Aventura,PC,4.398508945166954,5.51995908040557,Sim,15.0,163.3991054152305
Jogo_174,Esportes,Switch,,4.92206866813152,Não,6.0,49.97921740566408
Jogo_175,RPG,Switch,2.3659970029317563,2.4329674129453114,Sim,10.0,33.77713890265092
Jogo_176,Ação,PlayStation,,6.1686439073999715,Sim,5.0,177.97574818110652
Jogo_177,Ação,PlayStation,6.577353201743722,1.3233399383870246,Sim,7.0,131.48628399688388
Jogo_178,Ação,Mobile,1.8178404636512724,0.7952149720705587,Sim,17.0,119.92154926982354
Jogo_179,Ação,PC,2.895289997943138,4.823733805010529,Sim,5.0,51.030242868608696
Jogo_180,Aventura,PlayStation,7.371745109563411,9.049663752992606,Não,4.0,51.550926464586695
Jogo_181,RPG,Mobile,8.508307737957974,9.825177150450473,Sim,12.0,78.91915534917119
Jogo_182,RPG,Xbox,8.310336698382653,9.401499629768773,Sim,6.0,134.13163254070366
Jogo_183,Aventura,Mobile,2.536214195186626,9.912670047600832,Sim,14.0,68.57780082825116
Jogo_184,RPG,Xbox,4.6068684426346715,8.644167188040324,Sim,17.0,51.445171556053666
Jogo_185,Esportes,Switch,6.258387077378808,7.965996587594577,Não,4.0,117.60790442594498
Jogo_186,RPG,PC,7.375196498059136,1.5608222971404309,Sim,15.0,153.7171126119138
Jogo_187,RPG,Mobile,8.005707025542895,3.1250649503264265,Não,10.0,65.40268861362318
Jogo_188,Esportes,Mobile,9.38273004304927,1.0612285143178597,Sim,12.0,68.96752421756541
Jogo_189,Aventura,PlayStation,9.931107454419346,5.700720886450181,Sim,12.0,125.25381189162607
Jogo_190,Esportes,Mobile,4.772475933788291,1.0501080112681012,Não,4.0,146.41890613524052
Jogo_191,Aventura,PlayStation,9.664048941112407,5.406115917194314,Não,7.0,109.70414302035942
Jogo_192,Aventura,Mobile,5.799914784146956,6.469434646833121,Sim,,188.46868856716367
Jogo_193,Esportes,PC,7.5393143028745415,5.210360986355873,Não,3.0,180.49532687555495
Jogo_194,Esportes,Xbox,,6.018560932508204,Não,10.0,173.58743107686473
Jogo_195,Puzzle,Switch,3.365665973334965,2.0753022154642746,Sim,12.0,43.99512923094733
Jogo_196,Esportes,Switch,6.798736059141076,4.919243513533169,Não,18.0,82.26582948650682
Jogo_197,RPG,Mobile,,8.881424000575514,Sim,9.0,34.45720138110967
Jogo_198,Ação,Mobile,5.557562714476549,9.36364016202222,Sim,11.0,81.63641282035127
Jogo_199,RPG,Switch,3.159193607034139,5.445183982061776,Não,12.0,69.05052210535811
Jogo_200,Aventura,Switch,8.92334177553351,9.347735697526623,Não,4.0,130.41804587919128
Jogo_201,RPG,PlayStation,9.875706090525611,3.7708529847149013,Sim,,45.26343591312485
Jogo_202,Puzzle,Mobile,6.53043098194738,6.80965721529399,Sim,18.0,106.79525615581096
Jogo_203,Puzzle,PlayStation,7.011245419925075,1.946607930411742,Sim,,84.12210391783722
Jogo_204,Aventura,PlayStation,3.0234340400931146,1.0983984942964191,Sim,,64.11478419094306
Jogo_205,RPG,Switch,,4.49535835088282,Sim,9.0,185.6475208656262
Jogo_206,RPG,Mobile,1.2560509229018497,8.572767014491053,Sim,13.0,149.81526920546824
Jogo_207,RPG,PC,1.9525351791431227,8.522551198721462,Não,6.0,67.09856603285354
Jogo_208,Esportes,PC,8.201427071213622,9.557672449425981,Sim,,148.3577988320351
Jogo_209,Esportes,Switch,8.921565553889863,7.183439246236987,Sim,10.0,151.91324980004893
Jogo_210,Puzzle,PC,9.906763375794096,3.6023331285745592,Sim,9.0,117.98376762423209
Jogo_211,Puzzle,Mobile,6.403634269178168,2.5529831814691937,Não,6.0,94.42774240263327
Jogo_212,Puzzle,Switch,8.415222124305922,4.468722838564742,Não,10.0,125.23698869962845
Jogo_213,RPG,Switch,3.791010492785263,6.6538182614680625,Não,16.0,152.44697212707598
Jogo_214,Aventura,PlayStation,3.3494986248188043,4.822680781748983,Não,10.0,139.42678868870496
Jogo_215,RPG,Xbox,2.4394359614986545,2.726458327346405,Sim,10.0,84.52043048187684
Jogo_216,Esportes,PlayStation,2.6923124790373727,4.610558437232821,Não,4.0,88.10649011123965
Jogo_217,RPG,PC,4.152519995123323,6.09340140847484,Não,12.0,73.54332530052935
Jogo_218,RPG,Mobile,4.148648013326941,0.6792539785220639,Sim,18.0,55.67553370864279
Jogo_219,Aventura,Switch,4.007244670721136,4.884457900466446,Sim,13.0,181.83762974377248
Jogo_220,RPG,Switch,2.5611297953440313,6.29916728240477,Sim,9.0,173.1648516976092
Jogo_221,RPG,PC,5.139677011046865,9.813905646315465,Sim,13.0,181.48458501550783
Jogo_222,Ação,Mobile,1.9623337612593565,3.053819532643515,Sim,11.0,199.64258747900845
Jogo_223,Aventura,Xbox,7.343761154556619,7.593351429481608,Não,13.0,148.20496760342837
Jogo_224,Ação,PC,4.568919550605119,9.783458029729033,Sim,16.0,48.830304048334256
Jogo_225,Ação,Switch,2.528691342294002,7.5377244393793505,Não,14.0,148.08051152960263
Jogo_226,Puzzle,Mobile,1.7025641804494978,8.386511386862939,Não,14.0,60.35042102965771
Jogo_227,Esportes,Switch,5.224255863593013,1.2422443603343731,Sim,4.0,123.99066718180316
Jogo_228,Puzzle,Mobile,2.757950384114579,5.512780628664254,Sim,9.0,91.36659997728353
Jogo_229,Ação,Switch,2.624677371286663,1.2877769438177518,Não,7.0,152.1624109937077
Jogo_230,Esportes,PlayStation,,8.451800687598697,Não,18.0,170.07135055368983
Jogo_231,Puzzle,PC,8.952054352096116,9.652910942970644,Não,13.0,78.85691768056898
Jogo_232,Puzzle,PC,6.711725784394203,7.209637840053171,Sim,7.0,146.79549961581526
Jogo_233,Aventura,PC,1.3377571574105247,3.9605851270650465,Sim,9.0,114.48446393238473
Jogo_234,Puzzle,Xbox,1.6354210569593342,7.1117507374611515,Não,7.0,191.68957964827703
Jogo_235,Esportes,PC,6.927912246067185,5.657098641153702,Sim,8.0,180.29826917264901
Jogo_236,RPG,Mobile,2.6919689247050744,5.525821680827263,Sim,13.0,144.553022775897
Jogo_237,Ação,Mobile,2.3921980220891905,4.347320355473658,Sim,14.0,75.95549178101825
Jogo_238,RPG,Xbox,3.1517264180393467,4.290668376633469,Não,6.0,192.81441104014965
Jogo_239,Ação,Xbox,7.822664730286422,0.49495263815764223,Sim,9.0,47.20068562707591
Jogo_240,Esportes,Xbox,5.130596586993538,7.950955488607398,Não,3.0,50.7862868006858
Jogo_241,Ação,Xbox,6.390152040632421,3.2557009380587267,Não,8.0,36.65938337982248
Jogo_242,Aventura,Switch,7.075312412437805,1.963299929065077,Sim,10.0,182.73993768520003
Jogo_243,Ação,Switch,5.961834227831771,4.957130076743246,Não,16.0,119.47215293706643
Jogo_244,Puzzle,Xbox,7.1843564954619685,5.02790533249477,Sim,9.0,100.70596741165525
Jogo_245,Aventura,PC,3.8582135868813987,6.545261030323255,Sim,17.0,173.04587843888294
Jogo_246,RPG,Xbox,1.2144787550750662,2.8423679577646817,Não,4.0,100.19904118082411
Jogo_247,Esportes,Switch,7.634551662464107,8.111857519711972,Não,7.0,68.05438767193715
Jogo_248,Puzzle,Switch,1.6861609825415558,7.306108473808326,Não,7.0,118.48364365628919
Jogo_249,RPG,Xbox,6.317156408870411,1.6587485804708566,Não,6.0,150.99352055767085
Jogo_250,Esportes,Xbox,8.404341629572539,8.286623049521591,Não,4.0,50.90048478076775
Jogo_251,RPG,PC,3.975455312781384,8.371746379263696,Não,10.0,158.61284505349886
Jogo_252,Puzzle,Switch,2.9461153792355876,3.346144095670019,Sim,12.0,90.29522159739031
Jogo_253,Esportes,Xbox,6.079218532670897,8.979791099902746,Não,,41.97549627750378
Jogo_254,Ação,Switch,1.9254034307724064,9.646138981579872,Sim,11.0,108.18193143794255
Jogo_255,Aventura,PlayStation,2.994306316550496,6.736799617208995,Não,18.0,148.76771580638854
Jogo_256,RPG,Mobile,8.743493324574487,5.232932290375761,Não,15.0,168.88124013311102
Jogo_257,Esportes,Mobile,6.404202995178683,5.445589119119955,Não,12.0,94.80893286939894
Jogo_258,Esportes,Mobile,9.459267169214133,7.047618756607104,Sim,6.0,49.56457021518396
Jogo_259,Aventura,Xbox,8.147350434671175,7.437525644533559,Não,11.0,169.64941099562452
Jogo_260,Aventura,PC,5.464091097566055,9.103464882484461,Não,10.0,136.2848483358484
Jogo_261,Esportes,Xbox,7.235891964473069,2.9507735679621083,Sim,9.0,132.17277212435826
Jogo_262,Puzzle,Mobile,8.748079125836831,6.53934708950597,Sim,,92.52516330293652
Jogo_263,Esportes,Xbox,2.6153451917454804,5.240398520839636,Não,3.0,45.982542085303685
Jogo_264,Ação,PlayStation,,5.438349255063222,Sim,17.0,62.349084651059755
Jogo_265,RPG,PC,6.525861383883161,3.5871580189514076,Sim,12.0,95.92314148120764
Jogo_266,Aventura,PC,9.177924902739328,8.700929423050892,Sim,7.0,195.51203817800862
Jogo_267,RPG,Xbox,5.484676467908773,9.965887640670422,Não,16.0,36.578534115749015
Jogo_268,Esportes,PlayStation,8.629610897031082,7.415332211123818,Sim,5.0,56.90691493087425
Jogo_269,Aventura,Xbox,7.900153531152404,3.7111515495649843,Sim,16.0,110.3048568878346
Jogo_270,Puzzle,Mobile,7.660606518028813,3.1147785961729486,Sim,11.0,88.70818121881064
Jogo_271,Esportes,Switch,8.750612264327994,0.8630261018581706,Não,8.0,167.93138992393472
Jogo_272,Puzzle,PC,4.238266083149922,7.2966386122514315,Não,6.0,143.43527768909954
Jogo_273,Puzzle,Switch,,7.3127870605674445,Não,18.0,69.1231771106037
Jogo_274,Aventura,Switch,1.385444972605843,4.838740323058403,Não,16.0,179.7548764481897
Jogo_275,Ação,Switch,4.3860701610560415,8.008156807477791,Sim,8.0,47.38352094523011
Jogo_276,Aventura,Xbox,7.294328533430875,0.2817589562662156,Sim,16.0,120.30472228701115
Jogo_277,Aventura,Mobile,6.172823168309084,6.937906218154104,Sim,13.0,165.68608906070233
Jogo_278,RPG,Mobile,1.3246637862492927,7.173844057823123,Sim,12.0,59.53769829612179
Jogo_279,Aventura,Xbox,8.626427626304679,5.477839005734425,Não,7.0,111.27217067817094
Jogo_280,RPG,Mobile,2.358143300014891,2.1063422382578185,Não,16.0,68.69751140745737
Jogo_281,Ação,PC,3.578179286616728,1.6414485519194544,Não,8.0,56.69135344121424
Jogo_282,RPG,PC,9.599418111478615,4.112261100270389,Não,15.0,128.3655739903221
Jogo_283,Esportes,Switch,2.8256497998591996,1.33202566136988,Não,16.0,167.2555055897028
Jogo_284,Aventura,Xbox,5.998944726067496,5.931633861002877,Não,12.0,136.08934174283442
Jogo_285,RPG,PC,9.785920770846316,0.6540375904210055,Sim,,116.99751439906555
Jogo_286,Ação,Xbox,3.2034353879142023,3.942994969708555,Não,14.0,175.0305887738968
Jogo_287,RPG,PlayStation,4.895149689506619,9.148024950766425,Sim,10.0,116.88396528818677
Jogo_288,RPG,Switch,9.287544487095037,3.322677640533903,Sim,12.0,52.23800289738432
Jogo_289,Puzzle,Switch,3.9497744270613366,2.6302252693924797,Sim,9.0,120.2268365913257
Jogo_290,Esportes,Switch,9.423386874078796,6.302398954465585,Sim,17.0,124.39822656420202
